entry_ts,exit_ts,side,entry_price,exit_price,target_price,stop_price,exit_reason,pnl_R,pnl_pct_equity,equity_after,bars_held,symbol
2026-06-13 00:00:00+00:00,2026-06-13 00:12:00+00:00,SHORT,63546.3,63542.0,62593.1055,63736.9389,TIME,-0.510824,-10.2165,6.284846,12,BTCUSDT
2026-06-13 00:13:00+00:00,2026-06-13 00:25:00+00:00,SHORT,63567.7,63508.1,62614.1845,63758.4031,TIME,-0.220678,-4.4136,6.007461,12,BTCUSDT
2026-06-13 00:55:00+00:00,2026-06-13 01:07:00+00:00,SHORT,63587.8,63622.0,62633.983,63778.5634,TIME,-0.712781,-14.2556,5.15106,12,BTCUSDT
2026-06-13 01:37:00+00:00,2026-06-13 01:49:00+00:00,SHORT,63688.0,63783.3,62732.68,63879.064,TIME,-1.032478,-20.6496,4.087389,12,BTCUSDT
2026-06-13 02:19:00+00:00,2026-06-13 02:31:00+00:00,SHORT,63764.7,63688.9,62808.2295,63955.9941,TIME,-0.136907,-2.7381,3.97547,12,BTCUSDT
2026-06-19 00:00:00+00:00,2026-06-19 00:12:00+00:00,SHORT,62903.2,62819.0,61959.652,63091.9096,TIME,-0.086937,-1.7387,3.906347,12,BTCUSDT
2026-06-19 00:42:00+00:00,2026-06-19 00:54:00+00:00,SHORT,63017.9,62980.7,62072.6315,63206.9537,TIME,-0.336506,-6.7301,3.643445,12,BTCUSDT
2026-06-19 01:24:00+00:00,2026-06-19 01:36:00+00:00,SHORT,62986.1,62868.3,62041.3085,63175.0583,TIME,0.090399,1.808,3.709318,12,BTCUSDT
2026-06-19 01:37:00+00:00,2026-06-19 01:49:00+00:00,SHORT,62888.4,62902.1,61945.074,63077.0652,TIME,-0.606052,-12.121,3.25971,12,BTCUSDT
2026-06-19 01:50:00+00:00,2026-06-19 02:02:00+00:00,SHORT,62909.2,63024.1,61965.562,63097.9276,TIME,-1.142573,-22.8515,2.514819,12,BTCUSDT
2026-06-19 16:00:00+00:00,2026-06-19 16:12:00+00:00,SHORT,63215.7,63242.2,62267.4645,63405.3471,TIME,-0.67321,-13.4642,2.176218,12,BTCUSDT
2026-06-20 08:00:00+00:00,2026-06-20 08:12:00+00:00,SHORT,63600.0,63512.0,62646.0,63790.8,TIME,-0.071901,-1.438,2.144924,12,BTCUSDT
2026-06-20 08:42:00+00:00,2026-06-20 08:54:00+00:00,LONG,63444.1,63380.6,64395.7615,63253.7677,TIME,-0.8667,-17.334,1.773123,12,BTCUSDT
2026-06-20 09:24:00+00:00,2026-06-20 09:36:00+00:00,SHORT,63535.6,63609.6,62582.566,63726.2068,TIME,-0.92186,-18.4372,1.446208,12,BTCUSDT
2026-06-20 10:06:00+00:00,2026-06-20 10:18:00+00:00,LONG,63738.2,63678.8,64694.273,63546.9854,TIME,-0.843733,-16.8747,1.202166,12,BTCUSDT
2026-06-20 16:00:00+00:00,2026-06-20 16:12:00+00:00,LONG,63994.2,63950.1,64954.113,63802.2174,TIME,-0.762844,-15.2569,1.018753,12,BTCUSDT
2026-06-21 16:00:00+00:00,2026-06-21 16:12:00+00:00,LONG,64165.4,64134.2,65127.881,63972.9038,TIME,-0.695257,-13.9051,0.877094,12,BTCUSDT
2026-06-21 16:42:00+00:00,2026-06-21 16:54:00+00:00,LONG,64083.4,64115.0,65044.651,63891.1498,TIME,-0.369003,-7.3801,0.812364,12,BTCUSDT
2026-06-21 17:24:00+00:00,2026-06-21 17:36:00+00:00,LONG,64129.3,64063.5,65091.2395,63936.9121,TIME,-0.875086,-17.5017,0.670186,12,BTCUSDT
