entry_ts,exit_ts,side,entry_price,exit_price,target_price,stop_price,exit_reason,pnl_R,pnl_pct_equity,equity_after,bars_held,symbol
2026-05-23 08:50:00+00:00,2026-05-23 08:52:00+00:00,SHORT,82.06,82.0,79.5982,83.04472,TIME,-0.072381,-1.4476,6.898667,2.0,SOLUSDT
2026-05-23 22:14:00+00:00,2026-05-23 22:16:00+00:00,LONG,86.21,86.2,88.7963,85.17548,TIME,-0.142979,-2.8596,6.701394,2.0,SOLUSDT
2026-05-20 22:25:00+00:00,2026-05-20 22:26:00+00:00,SHORT,0.10325,0.10368933,0.10368933,0.104489,TP,-0.488144,-9.7629,6.316598,1.0,DOGEUSDT
2026-05-20 23:10:00+00:00,2026-05-20 23:12:00+00:00,LONG,0.10326,0.10329,0.10441441,0.10202088,TIME,-0.109122,-2.1824,6.178742,2.0,DOGEUSDT
2026-05-21 04:26:00+00:00,2026-05-21 04:28:00+00:00,LONG,0.10541,0.10537,0.1085723,0.10414508,TIME,-0.164922,-3.2984,5.97494,2.0,DOGEUSDT
2026-05-21 11:13:00+00:00,2026-05-21 11:15:00+00:00,SHORT,0.10449,0.10454,0.10238856,0.10574388,TIME,-0.173248,-3.465,5.76791,2.0,DOGEUSDT
2026-05-30 04:44:00+00:00,2026-05-30 04:46:00+00:00,SHORT,0.10049,0.10054,0.0974753,0.10169588,TIME,-0.174837,-3.4967,5.566221,2.0,DOGEUSDT
2026-05-20 19:19:00+00:00,2026-05-20 19:21:00+00:00,SHORT,0.25,0.2499,0.24923814,0.253,TIME,-0.099995,-1.9999,6.860007,2.0,ADAUSDT
2026-05-20 22:25:00+00:00,2026-05-20 22:27:00+00:00,SHORT,0.249,0.2492,0.24728736,0.251988,TIME,-0.200323,-4.0065,6.585164,2.0,ADAUSDT
2026-05-21 23:47:00+00:00,2026-05-21 23:48:00+00:00,LONG,0.2501,0.25021976,0.25021976,0.2470988,TP,-0.093439,-1.8688,6.462101,1.0,ADAUSDT
2026-05-25 15:58:00+00:00,2026-05-25 16:00:00+00:00,SHORT,0.246,0.246,0.24326049,0.248952,TIME,-0.133348,-2.667,6.289759,2.0,ADAUSDT
2026-05-26 00:50:00+00:00,2026-05-26 00:51:00+00:00,LONG,0.2416,0.24032542,0.24032542,0.2387008,TP,-0.572685,-11.4537,5.569348,1.0,ADAUSDT
2026-05-27 17:42:00+00:00,2026-05-27 17:44:00+00:00,LONG,0.2386,0.2387,0.23962477,0.2357368,TIME,-0.098413,-1.9683,5.459729,2.0,ADAUSDT
2026-05-27 19:49:00+00:00,2026-05-27 19:51:00+00:00,LONG,0.2402,0.2405,0.247406,0.2373176,TIME,-0.029301,-0.586,5.427734,2.0,ADAUSDT
2026-05-21 08:45:00+00:00,2026-05-21 08:46:00+00:00,LONG,9.694,9.68710283,9.68710283,9.577672,TP,-0.192574,-3.8515,6.730397,1.0,LINKUSDT
2026-05-21 09:01:00+00:00,2026-05-21 09:03:00+00:00,LONG,9.665,9.667,9.95495,9.54902,TIME,-0.116084,-2.3217,6.574138,2.0,LINKUSDT
2026-05-20 16:43:00+00:00,2026-05-20 16:45:00+00:00,SHORT,0.09098,0.09096,0.09063049,0.09207176,TIME,-0.115018,-2.3004,6.838974,2.0,POLUSDT
2026-05-22 05:40:00+00:00,2026-05-22 05:41:00+00:00,LONG,0.09228,0.09217683,0.09217683,0.09117264,TP,-0.226427,-4.5285,6.529268,1.0,POLUSDT
2026-05-24 14:44:00+00:00,2026-05-24 14:45:00+00:00,SHORT,0.09041,0.09118601,0.09118601,0.09149492,TP,-0.849045,-16.9809,5.42054,1.0,POLUSDT
2026-05-25 07:22:00+00:00,2026-05-25 07:23:00+00:00,LONG,0.09187,0.08967944,0.08967944,0.09076756,TP,-2.119134,-42.3827,3.12317,1.0,POLUSDT
2026-05-26 00:58:00+00:00,2026-05-26 01:00:00+00:00,SHORT,0.0921,0.09198,0.08997356,0.0932052,TIME,-0.024706,-0.4941,3.107738,2.0,POLUSDT
2026-05-28 20:03:00+00:00,2026-05-28 20:05:00+00:00,LONG,0.08733,0.08721,0.08902615,0.08628204,TIME,-0.247758,-4.9552,2.953745,2.0,POLUSDT
2026-05-29 15:11:00+00:00,2026-05-29 15:12:00+00:00,SHORT,0.0882,0.08977891,0.08977891,0.0892584,TP,-1.626031,-32.5206,1.993169,1.0,POLUSDT
2026-05-30 02:06:00+00:00,2026-05-30 02:08:00+00:00,SHORT,0.09149,0.09155,0.091109,0.09258788,TIME,-0.188032,-3.7606,1.918213,2.0,POLUSDT
2026-05-30 12:05:00+00:00,2026-05-30 12:07:00+00:00,SHORT,0.09088,0.09067,0.0881536,0.09197056,TIME,0.059329,1.1866,1.940974,2.0,POLUSDT
2026-05-30 12:10:00+00:00,2026-05-30 12:11:00+00:00,LONG,0.09064,0.09019693,0.09019693,0.08955232,TP,-0.540431,-10.8086,1.731181,1.0,POLUSDT
2026-05-30 23:20:00+00:00,2026-05-30 23:22:00+00:00,LONG,0.08964,0.08974,0.0923292,0.08856432,TIME,-0.04041,-0.8082,1.71719,2.0,POLUSDT
2026-05-20 22:36:00+00:00,2026-05-20 22:37:00+00:00,LONG,0.1103,0.10750089,0.10750089,0.1089764,TP,-2.246818,-44.9364,3.854455,1.0,ARBUSDT
2026-05-24 22:13:00+00:00,2026-05-24 22:15:00+00:00,SHORT,0.1056,0.1054,0.102432,0.1068672,TIME,0.024575,0.4915,3.8734,2.0,ARBUSDT
2026-05-29 16:24:00+00:00,2026-05-29 16:25:00+00:00,LONG,0.104,0.10383722,0.10383722,0.102752,TP,-0.263674,-5.2735,3.669137,1.0,ARBUSDT
2026-05-29 19:12:00+00:00,2026-05-29 19:14:00+00:00,LONG,0.1034,0.103,0.106502,0.1021592,TIME,-0.455498,-9.11,3.33488,2.0,ARBUSDT
2026-05-25 21:18:00+00:00,2026-05-25 21:19:00+00:00,LONG,0.9737,0.96052142,0.96052142,0.9620156,TP,-1.26052,-25.2104,5.235272,1.0,APTUSDT
2026-05-29 19:29:00+00:00,2026-05-29 19:31:00+00:00,SHORT,0.9271,0.929,0.899287,0.9382252,TIME,-0.304234,-6.0847,4.916722,2.0,APTUSDT
2026-05-31 02:32:00+00:00,2026-05-31 02:34:00+00:00,LONG,0.9422,0.9399,0.944064,0.9308936,TIME,-0.336621,-6.7324,4.585707,2.0,APTUSDT
2026-05-19 08:05:00+00:00,2026-05-19 08:07:00+00:00,LONG,1.0799,1.0789,1.112297,1.0669412,TIME,-0.21044,-4.2088,6.705384,2.0,SUIUSDT
2026-05-20 16:43:00+00:00,2026-05-20 16:45:00+00:00,SHORT,1.0742,1.0748,1.041974,1.0870904,TIME,-0.179923,-3.5985,6.464094,2.0,SUIUSDT
2026-05-19 02:24:00+00:00,2026-05-19 02:26:00+00:00,SHORT,5.209,5.205,5.00627201,5.271508,TIME,-0.069318,-1.3864,6.902955,2.0,INJUSDT
2026-05-20 22:24:00+00:00,2026-05-20 22:26:00+00:00,SHORT,4.832,4.845,4.68704,4.889984,TIME,-0.357683,-7.1537,6.409141,2.0,INJUSDT
2026-05-20 16:05:00+00:00,2026-05-20 16:07:00+00:00,SHORT,0.3623,0.3624,0.35214768,0.3666476,TIME,-0.156363,-3.1273,6.781091,2.0,LDOUSDT
2026-05-20 22:39:00+00:00,2026-05-20 22:40:00+00:00,LONG,0.3571,0.3518122,0.3518122,0.3528148,TP,-1.366547,-27.3309,4.927756,1.0,LDOUSDT
2026-05-26 00:58:00+00:00,2026-05-26 01:00:00+00:00,SHORT,0.3435,0.3428,0.33112971,0.347622,TIME,0.036574,0.7315,4.963801,2.0,LDOUSDT
