inst_id,state,settle_ccy,quote_ccy,list_time_iso,list_time_ms,ct_val,min_sz,lot_sz,tick_sz,lever_max,last_price,vol_24h_usdt,best_bid,best_ask,spread_bps,notional_min_per_lot,notional_max_at_lever,loss_per_lot_at_stop_5pct,acceptable_loss_usd,max_lots_at_risk_cap,can_open_at_lever_cap,can_open_with_risk_cap,can_open_position,can_place_hard_stop,can_post_only_fill,tickSz_pct_of_price
BTC-USDT-SWAP,live,USDT,USDT,2019-11-12T11:16:48+00:00,1573557408000,0.01,0.01,0.01,0.1,100.0,59867.4,10862333985.66,59878.8,59878.9,0.016700387532249665,5.98674,700.0,0.299337,2.1,7,True,True,True,True,True,1.6703581581962806e-06
XAU-USDT-SWAP,live,USDT,USDT,2025-04-09T10:00:00.563000+00:00,1744192800563,0.001,1.0,1.0,0.1,100.0,4032.4,298888766.48,4032.3,4032.4,0.2479943457286918,4.0324,700.0,0.20162000000000002,2.1,10,True,True,True,True,True,2.479912707072711e-05
ETH-USDT-SWAP,live,USDT,USDT,2019-11-12T11:16:48+00:00,1573557408000,0.1,0.01,0.01,0.01,100.0,1571.1,10308401348.79,1571.47,1571.48,0.06363448352656521,1.5711,700.0,0.078555,2.1,26,True,True,True,True,True,6.364967220418816e-06
ZEC-USDT-SWAP,live,USDT,USDT,2025-11-06T03:15:00.578000+00:00,1762398900578,0.01,1.0,1.0,0.01,50.0,412.16,248881245.67,412.47,412.48,0.2424389356928518,4.1216,350.0,0.20608,2.1,10,True,True,True,True,True,2.4262422360248446e-05
XAG-USDT-SWAP,live,USDT,USDT,2026-01-28T12:00:00+00:00,1769601600000,0.01,1.0,1.0,0.01,50.0,57.79,137759296.92,57.78,57.79,1.7305529116549299,0.5779,350.0,0.028895,2.1,72,True,True,True,True,True,0.00017304031839418586
BNB-USDT-SWAP,live,USDT,USDT,2022-12-23T06:53:48.049000+00:00,1671778428049,0.01,1.0,1.0,0.1,50.0,559.6,74607332.56,559.6,559.7,1.786831055124144,5.596,350.0,0.2798,2.1,7,True,True,True,True,True,0.00017869907076483203
YFI-USDT-SWAP,live,USDT,USDT,2020-09-02T10:12:51+00:00,1599041571000,0.0001,1.0,1.0,1.0,20.0,1640.0,432152.63,1639.0,1640.0,6.099420555047271,0.164,140.0,0.0082,2.1,256,True,True,True,True,False,0.0006097560975609756
HYPE-USDT-SWAP,live,USDT,USDT,2025-02-21T07:00:00.506000+00:00,1740121200506,0.1,1.0,1.0,0.001,50.0,63.913,422479125.08,63.857,63.858,0.15659867674081657,6.3913,350.0,0.31956500000000004,2.1,6,True,True,True,True,True,1.564626914712187e-05
TAO-USDT-SWAP,live,USDT,USDT,2024-09-20T05:00:00.182000+00:00,1726808400182,0.01,1.0,1.0,0.1,50.0,212.0,22679982.6,212.0,212.1,4.715868898844344,2.12,350.0,0.10600000000000001,2.1,19,True,True,True,True,True,0.0004716981132075472
XPT-USDT-SWAP,live,USDT,USDT,2026-02-02T06:30:00+00:00,1770013800000,0.001,1.0,1.0,0.1,50.0,1600.2,1883388.99,1599.7,1599.8,0.6250976715106051,1.6002,350.0,0.08001000000000001,2.1,26,True,True,True,True,True,6.249218847644045e-05
OKB-USDT-SWAP,live,USDT,USDT,2025-09-04T02:00:00.395000+00:00,1756951200395,0.01,1.0,1.0,0.01,20.0,75.25,16746984.57,75.26,75.27,1.3286388095384183,0.7525000000000001,140.0,0.037625000000000006,2.1,55,True,True,True,True,True,0.000132890365448505
BZ-USDT-SWAP,live,USDT,USDT,2026-03-24T10:00:00+00:00,1774346400000,0.01,1.0,1.0,0.01,50.0,75.26,11791757.12,75.25,75.26,1.3288153611062543,0.7526,350.0,0.037630000000000004,2.1,55,True,True,True,True,True,0.00013287270794578793
AAVE-USDT-SWAP,live,USDT,USDT,2020-12-10T06:00:00+00:00,1607580000000,0.1,0.1,0.1,0.01,50.0,81.19,112399260.63,81.23,81.24,1.2309964916588791,0.8119000000000002,350.0,0.04059500000000001,2.1,51,True,True,True,True,True,0.0001231678778174652
ICP-USDT-SWAP,live,USDT,USDT,2021-05-14T09:00:00+00:00,1620982800000,0.01,1.0,1.0,0.001,50.0,2.155,11195868.46,2.156,2.157,4.63714351959142,0.02155,350.0,0.0010775000000000001,2.1,1948,True,True,True,True,True,0.00046403712296983764
SOL-USDT-SWAP,live,USDT,USDT,2021-01-22T07:00:00+00:00,1611298800000,1.0,0.01,0.01,0.01,100.0,66.95,1077323125.82,66.95,66.96,1.49354043760599,0.6695000000000001,700.0,0.033475000000000005,2.1,62,True,True,True,True,True,0.0001493651979088872
XPD-USDT-SWAP,live,USDT,USDT,2026-02-02T06:00:00+00:00,1770012000000,0.001,1.0,1.0,0.1,50.0,1188.9,942901.13,1188.9,1189.4,4.204684017996048,1.1889,350.0,0.059445000000000005,2.1,35,True,True,True,True,True,8.411136344520145e-05
MU-USDT-SWAP,live,USDT,USDT,2026-03-04T07:15:00+00:00,1772608500000,1.0,0.01,0.01,0.01,50.0,1177.83,909931070.66,1179.27,1179.28,0.08479786309377291,11.7783,350.0,0.588915,2.1,3,True,True,True,True,True,8.490189585933454e-06
DASH-USDT-SWAP,live,USDT,USDT,2025-11-06T03:00:00.994000+00:00,1762398000994,0.01,1.0,1.0,0.01,50.0,33.85,6510570.55,33.84,33.85,2.954646181119223,0.3385,350.0,0.016925000000000003,2.1,124,True,True,True,True,True,0.0002954209748892171
FIL-USDT-SWAP,live,USDT,USDT,2019-08-10T10:12:51+00:00,1565431971000,0.1,1.0,1.0,0.0001,50.0,0.7325,63946952.82,0.7326,0.7327,1.3649082099227323,0.07325000000000001,350.0,0.003662500000000001,2.1,573,True,True,True,True,True,0.00013651877133105802
CL-USDT-SWAP,live,USDT,USDT,2026-03-04T12:15:00+00:00,1772626500000,0.1,1.0,1.0,0.01,50.0,71.69,60561417.92,71.65,71.66,1.3955760240026382,7.1690000000000005,350.0,0.35845000000000005,2.1,5,True,True,True,True,True,0.00013948946854512484
TRUMP-USDT-SWAP,live,USDT,USDT,2025-01-19T05:30:04.112000+00:00,1737264604112,0.1,1.0,1.0,0.001,50.0,1.637,48544248.05,1.638,1.639,6.103143118706817,0.1637,350.0,0.008185000000000001,2.1,256,True,True,True,True,False,0.0006108735491753207
SNDK-USDT-SWAP,live,USDT,USDT,2026-03-04T07:30:00+00:00,1772609400000,1.0,0.001,0.001,0.01,50.0,2287.22,447061638.26,2286.52,2286.77,1.0933048199436293,2.28722,350.0,0.114361,2.1,18,True,True,True,True,True,4.372119866038248e-06
SPCX-USDT-SWAP,live,USDT,USDT,2026-05-07T09:00:00+00:00,1778144400000,1.0,0.01,0.01,0.01,75.0,152.61,437865871.12,152.58,152.59,0.6553724153744408,1.5261000000000002,525.0,0.07630500000000001,2.1,27,True,True,True,True,True,6.55265054714632e-05
