hour_utc,n,win_rate,ev_R
0,18,0.8333333333333334,0.29811027777777777
1,16,0.9375,0.394739625
2,15,0.9333333333333333,0.3726258
3,12,0.8333333333333334,0.4153753333333334
4,33,0.9696969696969697,0.37653993939393937
5,22,0.6363636363636364,0.12140286363636364
6,18,0.8333333333333334,0.2786969444444444
7,17,0.8823529411764706,0.25464847058823525
8,16,0.9375,0.51786475
9,29,0.9310344827586207,0.31705737931034483
10,22,1.0,0.2935555
11,27,0.9629629629629629,0.33734588888888895
12,25,0.84,0.30003732
13,37,0.972972972972973,0.4025314864864865
14,19,0.8947368421052632,0.32938889473684213
15,19,1.0,0.5644248421052631
16,11,0.9090909090909091,0.5859819090909091
17,25,0.96,0.33378411999999996
18,11,0.9090909090909091,0.24358190909090907
19,13,0.9230769230769231,0.25795946153846155
20,34,0.9117647058823529,0.2389034117647059
21,30,0.9,0.3069631
22,37,1.0,0.4902622162162162
23,19,0.8947368421052632,0.2795132631578947
