symbol,n,win_rate,ev_R,sum_R
ADAUSDT,1,0.0,-1.087279,-1.087279
APTUSDT,1,1.0,0.260423,0.260423
ARBUSDT,1,1.0,0.253751,0.253751
ATOMUSDT,1,1.0,0.195294,0.195294
AVAXUSDT,1,0.0,-1.087279,-1.087279
BCHUSDT,1,0.0,-0.047849,-0.047849
DOGEUSDT,1,0.0,-0.148103,-0.148103
DOTUSDT,1,0.0,-0.086679,-0.086679
FETUSDT,1,0.0,-0.396402,-0.396402
FILUSDT,1,1.0,0.002264,0.002264
INJUSDT,1,1.0,0.913922,0.913922
LDOUSDT,1,0.0,-0.297526,-0.297526
LINKUSDT,1,1.0,0.128331,0.128331
LTCUSDT,1,0.0,-0.428764,-0.428764
NEARUSDT,1,0.0,-0.018853,-0.018853
OPUSDT,1,0.0,-1.087279,-1.087279
POLUSDT,1,1.0,0.013059,0.013059
RENDERUSDT,1,0.0,-0.044486,-0.044486
SEIUSDT,1,0.0,-0.280946,-0.280946
SOLUSDT,1,0.0,-0.135713,-0.135713
SUIUSDT,1,0.0,-0.115898,-0.115898
WIFUSDT,1,0.0,-0.086679,-0.086679
XRPUSDT,1,1.0,0.08077,0.08077
