time_stop_bars,fee_multiplier,slippage_multiplier,n_trades,win_rate,ev_R,profit_factor,pass
2,0.5,0.5,23,0.3913,-0.1089,0.4697,False
2,0.5,1.0,23,0.3913,-0.1289,0.4074,False
2,0.5,1.5,23,0.3478,-0.149,0.3537,False
2,1.0,0.5,23,0.3913,-0.1322,0.3977,False
2,1.0,1.0,23,0.3478,-0.1523,0.3454,False
2,1.0,1.5,23,0.2609,-0.1723,0.3018,False
2,1.5,0.5,23,0.3043,-0.1556,0.3374,False
2,1.5,1.0,23,0.2609,-0.1756,0.2953,False
2,1.5,1.5,23,0.2609,-0.1956,0.2591,False
3,0.5,0.5,23,0.3913,-0.1089,0.4697,False
3,0.5,1.0,23,0.3913,-0.1289,0.4074,False
3,0.5,1.5,23,0.3478,-0.149,0.3537,False
3,1.0,0.5,23,0.3913,-0.1322,0.3977,False
3,1.0,1.0,23,0.3478,-0.1523,0.3454,False
3,1.0,1.5,23,0.2609,-0.1723,0.3018,False
3,1.5,0.5,23,0.3043,-0.1556,0.3374,False
3,1.5,1.0,23,0.2609,-0.1756,0.2953,False
3,1.5,1.5,23,0.2609,-0.1956,0.2591,False
5,0.5,0.5,23,0.3913,-0.1089,0.4697,False
5,0.5,1.0,23,0.3913,-0.1289,0.4074,False
5,0.5,1.5,23,0.3478,-0.149,0.3537,False
5,1.0,0.5,23,0.3913,-0.1322,0.3977,False
5,1.0,1.0,23,0.3478,-0.1523,0.3454,False
5,1.0,1.5,23,0.2609,-0.1723,0.3018,False
5,1.5,0.5,23,0.3043,-0.1556,0.3374,False
5,1.5,1.0,23,0.2609,-0.1756,0.2953,False
5,1.5,1.5,23,0.2609,-0.1956,0.2591,False
