symbol,n,win_rate,ev_R,sum_R
ADAUSDT,20,0.2,-0.20053695,-4.010739
APTUSDT,3,0.6666666666666666,-0.028178666666666647,-0.08453599999999994
ARBUSDT,10,0.5,-0.2622522,-2.622522
ATOMUSDT,7,0.42857142857142855,-0.46987914285714283,-3.289154
AVAXUSDT,3,0.6666666666666666,0.04198799999999995,0.12596399999999985
BCHUSDT,22,0.3181818181818182,-0.24308304545454548,-5.3478270000000006
DOGEUSDT,7,0.42857142857142855,0.017926285714285704,0.12548399999999993
DOTUSDT,6,0.16666666666666666,-0.38579216666666666,-2.314753
FILUSDT,10,0.4,-0.15168450000000003,-1.5168450000000002
INJUSDT,2,0.0,-0.6063295000000001,-1.2126590000000002
LDOUSDT,13,0.38461538461538464,0.03766830769230769,0.48968799999999996
LINKUSDT,12,0.5833333333333334,0.17935725,2.152287
LTCUSDT,15,0.5333333333333333,0.04998699999999999,0.7498049999999998
NEARUSDT,5,0.0,-0.9247238,-4.623619
OPUSDT,1,0.0,-1.087279,-1.087279
POLUSDT,11,0.5454545454545454,-0.028462090909090913,-0.31308300000000006
RENDERUSDT,12,0.5,-0.0814986666666667,-0.9779840000000004
SEIUSDT,15,0.4666666666666667,-0.13043706666666666,-1.956556
SOLUSDT,9,0.4444444444444444,-0.03440144444444446,-0.30961300000000014
SUIUSDT,21,0.2857142857142857,-0.23564528571428572,-4.948551
TIAUSDT,23,0.5217391304347826,-0.04754878260869567,-1.0936220000000003
WIFUSDT,1,1.0,0.947293,0.947293
XRPUSDT,10,0.2,-0.3008882,-3.008882
