time_stop_bars,fee_multiplier,slippage_multiplier,n_trades,win_rate,ev_R,profit_factor,pass
2,0.5,0.5,238,0.0966,-0.261,0.0276,False
2,0.5,1.0,238,0.0672,-0.2804,0.02,False
2,0.5,1.5,238,0.0546,-0.2999,0.0149,False
2,1.0,0.5,238,0.0588,-0.2934,0.0164,False
2,1.0,1.0,238,0.0462,-0.3129,0.0123,False
2,1.0,1.5,238,0.0462,-0.3324,0.0089,False
2,1.5,0.5,238,0.0462,-0.3259,0.01,False
2,1.5,1.0,238,0.0336,-0.3454,0.0069,False
2,1.5,1.5,238,0.0294,-0.3648,0.0048,False
3,0.5,0.5,238,0.0966,-0.261,0.0276,False
3,0.5,1.0,238,0.0672,-0.2804,0.02,False
3,0.5,1.5,238,0.0546,-0.2999,0.0149,False
3,1.0,0.5,238,0.0588,-0.2934,0.0164,False
3,1.0,1.0,238,0.0462,-0.3129,0.0123,False
3,1.0,1.5,238,0.0462,-0.3324,0.0089,False
3,1.5,0.5,238,0.0462,-0.3259,0.01,False
3,1.5,1.0,238,0.0336,-0.3454,0.0069,False
3,1.5,1.5,238,0.0294,-0.3648,0.0048,False
5,0.5,0.5,238,0.0966,-0.261,0.0276,False
5,0.5,1.0,238,0.0672,-0.2804,0.02,False
5,0.5,1.5,238,0.0546,-0.2999,0.0149,False
5,1.0,0.5,238,0.0588,-0.2934,0.0164,False
5,1.0,1.0,238,0.0462,-0.3129,0.0123,False
5,1.0,1.5,238,0.0462,-0.3324,0.0089,False
5,1.5,0.5,238,0.0462,-0.3259,0.01,False
5,1.5,1.0,238,0.0336,-0.3454,0.0069,False
5,1.5,1.5,238,0.0294,-0.3648,0.0048,False
