hour_utc,n,win_rate,ev_R
0,78,0.5128205128205128,-0.3451832179487179
1,76,0.34210526315789475,-0.5884164736842106
2,75,0.4266666666666667,-0.4920834533333333
3,89,0.6404494382022472,-0.1271526179775281
4,85,0.788235294117647,0.14629702352941176
5,70,0.4714285714285714,-0.39499921428571433
6,75,0.4533333333333333,-0.39927480000000004
7,101,0.4158415841584158,-0.45556135643564355
8,101,0.40594059405940597,-0.4523797227722773
9,80,0.1625,-0.8473433625
10,68,0.6029411764705882,-0.22860239705882354
11,101,0.5346534653465347,-0.3244419900990099
12,96,0.4895833333333333,-0.39486156250000004
13,134,0.5223880597014925,-0.29390099253731344
14,124,0.5806451612903226,-0.17601363709677423
15,104,0.6346153846153846,-0.02390736538461539
16,63,0.6984126984126984,0.009367031746031741
17,63,0.7936507936507936,0.1378959365079365
18,70,0.6142857142857143,-0.1585465
19,83,0.6867469879518072,0.002951481927710834
20,91,0.2087912087912088,-0.7398105384615385
21,92,0.43478260869565216,-0.4208087282608696
22,100,0.55,-0.23388153000000003
23,72,0.4444444444444444,-0.4057700833333333
