symbol,n,win_rate,ev_R,sum_R
ADAUSDT,88,0.5227272727272727,-0.29111925,-25.618494
APTUSDT,91,0.46153846153846156,-0.36211154945054946,-32.952151
ARBUSDT,95,0.5684210526315789,-0.24604550526315785,-23.374322999999997
ATOMUSDT,90,0.6111111111111112,-0.16176004444444442,-14.558403999999998
AVAXUSDT,85,0.47058823529411764,-0.3834558470588235,-32.593747
BCHUSDT,86,0.5,-0.3362775348837209,-28.919867999999997
DOGEUSDT,90,0.6333333333333333,-0.272788,-24.550919999999998
DOTUSDT,91,0.5494505494505495,-0.32564383516483514,-29.633588999999997
FETUSDT,74,0.527027027027027,-0.20149674324324324,-14.910758999999999
FILUSDT,93,0.4731182795698925,-0.3523112473118279,-32.764945999999995
INJUSDT,83,0.6265060240963856,-0.03991065060240962,-3.3125839999999984
LDOUSDT,90,0.5,-0.29975464444444444,-26.977918
LINKUSDT,94,0.5319148936170213,-0.3866553723404255,-36.345605
LTCUSDT,92,0.44565217391304346,-0.5044863586956521,-46.412744999999994
NEARUSDT,87,0.45977011494252873,-0.3100501379310345,-26.974362
OPUSDT,94,0.44680851063829785,-0.36735153191489356,-34.531043999999994
POLUSDT,82,0.43902439024390244,-0.4436010975609756,-36.37529
RENDERUSDT,76,0.5789473684210527,-0.17006467105263157,-12.924914999999999
SEIUSDT,87,0.45977011494252873,-0.371394816091954,-32.311349
SOLUSDT,80,0.475,-0.44184965,-35.347972
SUIUSDT,89,0.5617977528089888,-0.27054452808988766,-24.078463
TIAUSDT,79,0.4177215189873418,-0.38823527848101264,-30.670586999999998
WIFUSDT,93,0.5161290322580645,-0.29570819354838707,-27.500861999999998
XRPUSDT,89,0.5280898876404494,-0.4114299213483145,-36.617262999999994
