time_stop_bars,fee_multiplier,slippage_multiplier,n_trades,win_rate,ev_R,profit_factor,pass
2,0.5,0.5,2091,0.4916,-0.268,0.4656,False
2,0.5,1.0,2091,0.4916,-0.283,0.4441,False
2,0.5,1.5,2091,0.4916,-0.2979,0.4233,False
2,1.0,0.5,2091,0.4916,-0.2852,0.4409,False
2,1.0,1.0,2091,0.4916,-0.3001,0.4202,False
2,1.0,1.5,2091,0.4916,-0.3151,0.4001,False
2,1.5,0.5,2091,0.4916,-0.3024,0.4171,False
2,1.5,1.0,2091,0.4916,-0.3173,0.3971,False
2,1.5,1.5,2091,0.4912,-0.3322,0.3776,False
3,0.5,0.5,2091,0.4916,-0.268,0.4656,False
3,0.5,1.0,2091,0.4916,-0.283,0.4441,False
3,0.5,1.5,2091,0.4916,-0.2979,0.4233,False
3,1.0,0.5,2091,0.4916,-0.2852,0.4409,False
3,1.0,1.0,2091,0.4916,-0.3001,0.4202,False
3,1.0,1.5,2091,0.4916,-0.3151,0.4001,False
3,1.5,0.5,2091,0.4916,-0.3024,0.4171,False
3,1.5,1.0,2091,0.4916,-0.3173,0.3971,False
3,1.5,1.5,2091,0.4912,-0.3322,0.3776,False
5,0.5,0.5,2091,0.4916,-0.268,0.4656,False
5,0.5,1.0,2091,0.4916,-0.283,0.4441,False
5,0.5,1.5,2091,0.4916,-0.2979,0.4233,False
5,1.0,0.5,2091,0.4916,-0.2852,0.4409,False
5,1.0,1.0,2091,0.4916,-0.3001,0.4202,False
5,1.0,1.5,2091,0.4916,-0.3151,0.4001,False
5,1.5,0.5,2091,0.4916,-0.3024,0.4171,False
5,1.5,1.0,2091,0.4916,-0.3173,0.3971,False
5,1.5,1.5,2091,0.4912,-0.3322,0.3776,False
