time_stop_bars,fee_multiplier,slippage_multiplier,n_trades,win_rate,ev_R,profit_factor,pass
2,0.5,0.5,60,0.4,-0.1133,0.6102,False
2,0.5,1.0,60,0.3667,-0.1431,0.5369,False
2,0.5,1.5,60,0.3667,-0.1729,0.4726,False
2,1.0,0.5,60,0.3667,-0.1481,0.5257,False
2,1.0,1.0,60,0.35,-0.178,0.4628,False
2,1.0,1.5,60,0.35,-0.2078,0.4074,False
2,1.5,0.5,60,0.35,-0.1829,0.4532,False
2,1.5,1.0,60,0.3333,-0.2128,0.3989,False
2,1.5,1.5,60,0.3167,-0.2426,0.3514,False
3,0.5,0.5,60,0.4,-0.1133,0.6102,False
3,0.5,1.0,60,0.3667,-0.1431,0.5369,False
3,0.5,1.5,60,0.3667,-0.1729,0.4726,False
3,1.0,0.5,60,0.3667,-0.1481,0.5257,False
3,1.0,1.0,60,0.35,-0.178,0.4628,False
3,1.0,1.5,60,0.35,-0.2078,0.4074,False
3,1.5,0.5,60,0.35,-0.1829,0.4532,False
3,1.5,1.0,60,0.3333,-0.2128,0.3989,False
3,1.5,1.5,60,0.3167,-0.2426,0.3514,False
5,0.5,0.5,60,0.4,-0.1133,0.6102,False
5,0.5,1.0,60,0.3667,-0.1431,0.5369,False
5,0.5,1.5,60,0.3667,-0.1729,0.4726,False
5,1.0,0.5,60,0.3667,-0.1481,0.5257,False
5,1.0,1.0,60,0.35,-0.178,0.4628,False
5,1.0,1.5,60,0.35,-0.2078,0.4074,False
5,1.5,0.5,60,0.35,-0.1829,0.4532,False
5,1.5,1.0,60,0.3333,-0.2128,0.3989,False
5,1.5,1.5,60,0.3167,-0.2426,0.3514,False
