hour_utc,n,win_rate,ev_R
0,5,0.2,-0.847116
1,8,0.375,-0.13280937500000004
2,7,0.5714285714285714,0.26196185714285714
4,6,0.5,0.8592851666666667
5,1,0.0,-1.130618
6,6,0.5,0.06466633333333338
7,9,0.4444444444444444,-0.32210344444444444
8,4,0.25,-0.22668224999999997
9,2,0.0,-0.828635
10,1,0.0,-1.130618
11,1,0.0,-1.130618
12,7,0.14285714285714285,-0.7485692857142857
13,3,0.3333333333333333,0.2178363333333333
14,14,0.42857142857142855,0.08657314285714282
15,6,0.5,0.3371741666666666
16,7,0.42857142857142855,-0.09390271428571428
17,2,0.5,-0.534234
18,1,1.0,0.841797
19,1,1.0,1.370882
20,6,0.8333333333333334,1.1902818333333334
21,19,0.42105263157894735,0.10397915789473684
22,8,0.375,-0.23919449999999998
23,18,0.6666666666666666,0.3719987777777778
