symbol,n,win_rate,ev_R,sum_R
ADAUSDT,12,0.5,0.4361400833333333,5.233681
ARBUSDT,11,0.45454545454545453,0.055229272727272696,0.6075219999999997
DOGEUSDT,10,0.6,0.0122606,0.12260599999999999
DOTUSDT,5,0.4,-0.09721240000000005,-0.4860620000000002
FETUSDT,12,0.4166666666666667,-0.03966299999999997,-0.4759559999999996
FILUSDT,7,0.2857142857142857,-0.4976317142857143,-3.483422
LDOUSDT,1,1.0,0.066272,0.066272
NEARUSDT,8,0.25,-0.277003375,-2.216027
OPUSDT,8,0.25,-0.26430449999999994,-2.1144359999999995
POLUSDT,14,0.35714285714285715,0.06736464285714286,0.9431050000000001
SEIUSDT,8,0.625,0.42980275,3.438422
SUIUSDT,17,0.5294117647058824,0.09053594117647057,1.5391109999999997
TIAUSDT,2,0.0,-0.5859125000000001,-1.1718250000000001
WIFUSDT,8,0.5,0.31125012500000004,2.4900010000000004
XRPUSDT,19,0.5263157894736842,0.09299015789473686,1.7668130000000002
