time_stop_bars,fee_multiplier,slippage_multiplier,n_trades,win_rate,ev_R,profit_factor,pass
2,0.5,0.5,142,0.9366,1.2405,66.0641,True
2,0.5,1.0,142,0.9296,1.212,58.341,True
2,0.5,1.5,142,0.9296,1.1835,51.9107,True
2,1.0,0.5,142,0.9296,1.1929,53.904,True
2,1.0,1.0,142,0.9296,1.1644,48.2209,True
2,1.0,1.5,142,0.9225,1.1358,43.1888,True
2,1.5,0.5,142,0.9225,1.1452,44.7872,True
2,1.5,1.0,142,0.9155,1.1167,40.0666,True
2,1.5,1.5,142,0.9085,1.0882,35.8154,True
3,0.5,0.5,142,0.9366,1.2405,66.0641,True
3,0.5,1.0,142,0.9296,1.212,58.341,True
3,0.5,1.5,142,0.9296,1.1835,51.9107,True
3,1.0,0.5,142,0.9296,1.1929,53.904,True
3,1.0,1.0,142,0.9296,1.1644,48.2209,True
3,1.0,1.5,142,0.9225,1.1358,43.1888,True
3,1.5,0.5,142,0.9225,1.1452,44.7872,True
3,1.5,1.0,142,0.9155,1.1167,40.0666,True
3,1.5,1.5,142,0.9085,1.0882,35.8154,True
5,0.5,0.5,142,0.9366,1.2405,66.0641,True
5,0.5,1.0,142,0.9296,1.212,58.341,True
5,0.5,1.5,142,0.9296,1.1835,51.9107,True
5,1.0,0.5,142,0.9296,1.1929,53.904,True
5,1.0,1.0,142,0.9296,1.1644,48.2209,True
5,1.0,1.5,142,0.9225,1.1358,43.1888,True
5,1.5,0.5,142,0.9225,1.1452,44.7872,True
5,1.5,1.0,142,0.9155,1.1167,40.0666,True
5,1.5,1.5,142,0.9085,1.0882,35.8154,True
