strategy_name,symbol,entry_ts,exit_ts,side,entry_price,exit_price,target_price,stop_price,exit_reason,pnl_R,price_pnl_R,fee_slippage_R,funding_pnl_R,equity_after,bars_held
weekend_wick,DOGEUSDT,2026-05-17 09:00:00+00:00,2026-05-17 09:01:00+00:00,SHORT,0.111,0.1102,0.1102,0.11211,TP,0.561135,0.661135,0.16,0.0,7.589192,0
weekend_wick,DOGEUSDT,2026-05-17 10:00:00+00:00,2026-05-17 10:01:00+00:00,SHORT,0.11166,0.111,0.111,0.1127766,TP,0.431417,0.531417,0.16,0.0,8.080308,0
weekend_wick,DOGEUSDT,2026-05-23 00:00:00+00:00,2026-05-23 00:02:00+00:00,LONG,0.10129,0.10219,0.10228,0.1002771,TIME,0.728023,0.828023,0.16,0.0,8.962705,0
weekend_wick,DOGEUSDT,2026-05-24 21:00:00+00:00,2026-05-24 21:01:00+00:00,LONG,0.10061,0.10174,0.10174,0.0996039,TP,0.962493,1.062493,0.16,0.0,10.256686,0
weekend_wick,DOGEUSDT,2026-05-30 02:00:00+00:00,2026-05-30 02:02:00+00:00,SHORT,0.10152,0.10125,0.1009,0.1025352,TIME,0.106099,0.206099,0.16,0.0,10.41992,0
weekend_wick,DOGEUSDT,2026-05-31 14:00:00+00:00,2026-05-31 14:02:00+00:00,LONG,0.09997,0.10057,0.10083,0.0989703,TIME,0.439838,0.539838,0.16,0.0,11.107382,0
weekend_wick,DOGEUSDT,2026-05-31 16:00:00+00:00,2026-05-31 16:01:00+00:00,LONG,0.0993,0.0998,0.0998,0.098307,TP,0.343241,0.443241,0.16,0.0,11.679257,0
weekend_wick,DOGEUSDT,2026-06-14 12:00:00+00:00,2026-06-14 12:01:00+00:00,LONG,0.08652,0.08698,0.08698,0.0856548,TP,0.371368,0.471368,0.16,0.0,12.329853,0
weekend_wick,DOGEUSDT,2026-06-14 14:00:00+00:00,2026-06-14 14:02:00+00:00,LONG,0.08598,0.08634,0.08646,0.0851202,TIME,0.258469,0.358469,0.16,0.0,12.807885,0
weekend_wick,DOGEUSDT,2026-06-21 23:00:00+00:00,2026-06-21 23:02:00+00:00,LONG,0.08221,0.08263,0.08287,0.0813879,TIME,0.350598,0.450598,0.16,0.0,13.481449,0
weekend_wick,XRPUSDT,2026-05-23 07:00:00+00:00,2026-05-23 07:01:00+00:00,LONG,1.3113,1.3324,1.3324,1.298187,TP,1.448143,1.548143,0.16,0.0,8.52055,0
weekend_wick,XRPUSDT,2026-05-23 20:00:00+00:00,2026-05-23 20:01:00+00:00,SHORT,1.371,1.3462,1.3462,1.38471,TP,1.649966,1.749966,0.16,0.0,10.629343,0
weekend_wick,XRPUSDT,2026-05-24 21:00:00+00:00,2026-05-24 21:01:00+00:00,LONG,1.335,1.3441,1.3441,1.32165,TP,0.521257,0.621257,0.16,0.0,11.460436,0
weekend_wick,XRPUSDT,2026-05-30 00:00:00+00:00,2026-05-30 00:01:00+00:00,SHORT,1.3478,1.329,1.329,1.361278,TP,1.235685,1.335685,0.16,0.0,13.584659,0
weekend_wick,XRPUSDT,2026-05-30 01:00:00+00:00,2026-05-30 01:01:00+00:00,SHORT,1.356,1.3478,1.3478,1.36956,TP,0.445065,0.545065,0.16,0.0,14.491567,0
weekend_wick,XRPUSDT,2026-05-30 02:00:00+00:00,2026-05-30 02:02:00+00:00,SHORT,1.3597,1.3599,1.356,1.373297,TIME,-0.174736,-0.074736,0.16,0.0,14.111738,0
weekend_wick,XRPUSDT,2026-06-06 04:00:00+00:00,2026-06-06 04:01:00+00:00,LONG,1.0574,1.0853,1.0853,1.046826,TP,2.476983,2.576983,0.16,0.0,19.354917,0
weekend_wick,XRPUSDT,2026-06-07 01:00:00+00:00,2026-06-07 01:01:00+00:00,SHORT,1.1155,1.0884,1.0884,1.126655,TP,2.270844,2.370844,0.16,0.0,25.947717,0
weekend_wick,XRPUSDT,2026-06-07 08:00:00+00:00,2026-06-07 08:01:00+00:00,SHORT,1.1548,1.1363,1.1363,1.166348,TP,1.442952,1.542952,0.16,0.0,31.563915,0
weekend_wick,XRPUSDT,2026-06-13 12:00:00+00:00,2026-06-13 12:01:00+00:00,SHORT,1.1533,1.1477,1.1477,1.164833,TP,0.325837,0.425837,0.16,0.0,33.106617,0
weekend_wick,XRPUSDT,2026-06-14 12:00:00+00:00,2026-06-14 12:01:00+00:00,LONG,1.1369,1.1432,1.1432,1.125531,TP,0.393824,0.493824,0.16,0.0,35.062344,0
weekend_wick,XRPUSDT,2026-06-14 13:00:00+00:00,2026-06-14 13:01:00+00:00,LONG,1.1344,1.1369,1.1369,1.123056,TP,0.060267,0.160267,0.16,0.0,35.379307,0
weekend_wick,XRPUSDT,2026-06-14 14:00:00+00:00,2026-06-14 14:02:00+00:00,LONG,1.131,1.1332,1.1344,1.11969,TIME,0.034419,0.134419,0.16,0.0,35.561968,0
weekend_wick,XRPUSDT,2026-06-14 21:00:00+00:00,2026-06-14 21:01:00+00:00,SHORT,1.1676,1.1374,1.1374,1.179276,TP,2.428037,2.528037,0.16,0.0,48.513832,0
weekend_wick,XRPUSDT,2026-06-14 22:00:00+00:00,2026-06-14 22:01:00+00:00,SHORT,1.1732,1.1676,1.1676,1.184932,TP,0.317595,0.417595,0.16,0.0,50.824998,0
