symbol,n,win_rate,ev_R,sum_R
ADAUSDT,12,0.9166666666666666,1.0979858333333332,13.17583
ARBUSDT,11,0.9090909090909091,0.9308457272727272,10.239303
DOGEUSDT,10,1.0,0.4793245,4.793245
DOTUSDT,5,1.0,1.8070256,9.035128
FETUSDT,12,0.9166666666666666,1.5003668333333333,18.004402
FILUSDT,7,1.0,1.1897392857142857,8.328175
LDOUSDT,1,1.0,1.1374,1.1374
NEARUSDT,8,1.0,2.02498825,16.199906
OPUSDT,8,1.0,1.279755875,10.238047
POLUSDT,14,0.6428571428571429,0.7062225714285715,9.887116
SEIUSDT,8,1.0,1.485117625,11.880941
SUIUSDT,17,0.9411764705882353,1.410345588235294,23.975875
TIAUSDT,2,1.0,2.2841605,4.568321
WIFUSDT,8,1.0,1.53858425,12.308674
XRPUSDT,19,0.9473684210526315,0.9063574736842105,17.220792
