time_stop_bars,fee_multiplier,slippage_multiplier,n_trades,win_rate,ev_R,profit_factor,pass
2,0.5,0.5,142,0.9437,1.266,72.0898,True
2,0.5,1.0,142,0.9366,1.2375,64.2591,True
2,0.5,1.5,142,0.9296,1.209,57.0147,True
2,1.0,0.5,142,0.9366,1.2327,62.999,True
2,1.0,1.0,142,0.9296,1.2042,55.8881,True
2,1.0,1.5,142,0.9296,1.1757,49.8872,True
2,1.5,0.5,142,0.9296,1.1993,54.7979,True
2,1.5,1.0,142,0.9296,1.1708,48.9781,True
2,1.5,1.5,142,0.9155,1.1423,43.77,True
3,0.5,0.5,142,0.9437,1.266,72.0898,True
3,0.5,1.0,142,0.9366,1.2375,64.2591,True
3,0.5,1.5,142,0.9296,1.209,57.0147,True
3,1.0,0.5,142,0.9366,1.2327,62.999,True
3,1.0,1.0,142,0.9296,1.2042,55.8881,True
3,1.0,1.5,142,0.9296,1.1757,49.8872,True
3,1.5,0.5,142,0.9296,1.1993,54.7979,True
3,1.5,1.0,142,0.9296,1.1708,48.9781,True
3,1.5,1.5,142,0.9155,1.1423,43.77,True
5,0.5,0.5,142,0.9437,1.266,72.0898,True
5,0.5,1.0,142,0.9366,1.2375,64.2591,True
5,0.5,1.5,142,0.9296,1.209,57.0147,True
5,1.0,0.5,142,0.9366,1.2327,62.999,True
5,1.0,1.0,142,0.9296,1.2042,55.8881,True
5,1.0,1.5,142,0.9296,1.1757,49.8872,True
5,1.5,0.5,142,0.9296,1.1993,54.7979,True
5,1.5,1.0,142,0.9296,1.1708,48.9781,True
5,1.5,1.5,142,0.9155,1.1423,43.77,True
