hour_utc,n,win_rate,ev_R
0,5,0.6,0.276369
1,8,0.875,1.699966625
2,7,0.8571428571428571,0.6229921428571429
4,6,1.0,2.839992666666667
5,1,1.0,0.925382
6,6,1.0,1.5487668333333333
7,9,1.0,1.3132717777777776
8,4,0.75,0.75027075
9,2,1.0,0.48571
10,1,1.0,0.344922
11,1,1.0,2.035347
12,7,1.0,1.0173427142857143
13,3,1.0,0.9699099999999999
14,14,1.0,0.9916707142857143
15,6,0.8333333333333334,1.7312450000000001
16,7,1.0,0.9473668571428571
17,2,1.0,1.2620515
18,1,1.0,0.989414
19,1,1.0,0.18884
20,6,0.8333333333333334,2.1727298333333334
21,19,1.0,1.5373572105263158
22,8,0.75,0.419189
23,18,0.9444444444444444,0.9444069444444444
